date,person_name,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,tax,loan_status
15-02-1998,Ailton Leonardo Cunha,27.0,M,Bachelor,,5.0,RENT,3238.0,VENTURE,8.48,0.02,8.0,649.0,Yes,1,Rejected
09-02-1993,Ilii Canato,32.0,female,Bachelor,78295.0,7.0,RENT,19514.0,VENTURE,12.9,0.25,10.0,677.0,No,1,Pending
27-02-1997,Achilla Cravidão,28.0,female,High School,89505.0,8.0,RENT,20000.0,PERSONAL,9.96,0.22,7.0,637.0,No,1,Rejected
16-07-2001,Érica Moreira,24.0,Men,Associates,88718.0,1.0,RENT,5500.0,PERSONAL,11.49,0.06,3.0,573.0,Yes,1,Pending
29-05-2000,Sijia Casquinha,25.0,male,Master,79418.0,1.0,RENT,3000.0,HOMEIMPROVEMENT,8.49,0.04,4.0,671.0,No,1,Rejected
19-08-2000,Lougano Calçcarão,25.0,male,High School,121211.0,3.0,MORTGAGE,11650.0,HOMEIMPROVEMENT,6.62,0.1,3.0,679.0,Yes,1,Rejected
11-08-1993,Alzerina Midoes,32.0,male,Bachelor,181264.0,13.0,RENT,7809.0,EDUCATION,12.07,0.04,9.0,521.0,Yes,1,Pending
19-11-1981,Elizabete Alícia Alice,44.0,F,Associate,60734.0,21.0,MORTGAGE,4000.0,HOMEIMPROVEMENT,10.62,0.07,14.0,590.0,No,1,Rejected
10-12-1988,Nádia de Jesus Leamaro,37.0,F,Associate,60942.0,15.0,MORTGAGE,16000.0,MEDICAL,11.01,0.26,12.0,623.0,Yes,1,Pending
23-02-2002,Martín Marques,23.0,male,Bachelor,30165.0,0.0,RENT,12250.0,EDUCATION,13.16,0.41,3.0,686.0,No,1,Pending
04-01-2003,Lourenço José Menoita,22.0,female,High School,91281.0,3.0,MORTGAGE,15000.0,MEDICAL,14.27,0.16,2.0,659.0,Yes,1,Pending
24-10-1993,Gilchrist Razão,32.0,male,Master,138691.0,7.0,RENT,4000.0,EDUCATION,12.69,0.03,10.0,686.0,No,1,Rejected
10-10-2000,Mártin Loureiro,25.0,female,Associate,68274.0,3.0,MORTGAGE,5000.0,PERSONAL,13.93,0.07,,682.0,Yes,1,Pending
02-11-1998,Celta Agnoli,27.0,male,Master,46839.0,4.0,MORTGAGE,6000.0,PERSONAL,10.99,0.13,10.0,671.0,No,1,Pending
09-11-2003,Laura Jade Fachada,22.0,male,Bachelor,30930.0,0.0,OWN,5000.0,VENTURE,6.03,0.16,3.0,645.0,No,1,Pending
27-08-2002,Rita Alexandra Arromba,23.0,male,High School,80627.0,2.0,MORTG,8501.0,EDUCATION,11.0,0.11,3.0,551.0,Yes,1,Rejected
09-08-1988,Imaculada Sebadelhe,37.0,male,Bachelor,54985.0,13.0,RNT,12369.0,MEDICAL,8.35,0.22,10.0,705.0,No,1,Pending
06-12-1993,Archel Fale,32.0,male,Bachlor,38103.0,7.0,RENT,5000.0,VENTURE,11.49,0.13,10.0,685.0,No,1,Rejected
17-07-2002,Iúri Sodré,23.0,male,Master,58437.0,0.0,RENT,9800.0,DEBTCONS,7.88,0.17,4.0,659.0,No,1,Pending
22-05-2000,Mattia Escarigo,25.0,F,Bachelor,48842.0,4.0,MORTG,10000.0,DEBTCONS,7.14,0.2,4.0,654.0,No,1,Pending
17-07-2001,Semerina Furfuro,24.0,male,Master,37026.0,1.0,RENT,4000.0,VENTURE,5.99,0.11,2.0,629.0,Yes,1,Pending
21-08-2000,Yasmin Lyanni Paratudo,25.0,female,Assoc,72954.0,1.0,RENT,10000.0,MEDICAL,12.31,0.14,2.0,618.0,No,1,Rejected
07-02-2004,Nicole Sophia Largueisa,21.0,male,Master,67757.0,0.0,RENT,6500.0,DEBTCONSOLIDATION,13.98,0.1,4.0,659.0,Yes,1,Rejected
03-09-2001,Ayssa Perquilhas,24.0,male,Bachelor,81189.0,5.0,OWN,13000.0,VENTURE,11.01,0.16,3.0,593.0,Yes,1,Rejected
12-12-1999,Cardia Pignatelli,26.0,male,Bachlor,52585.0,6.0,RENT,9000.0,PERSONAL,13.85,0.17,4.0,727.0,Yes,1,Rejected
02-05-2002,Isabela Zhulienova Moço,23.0,male,Bachelor,41791.0,1.0,MORTGAGE,9000.0,PERSONAL,13.47,0.22,4.0,669.0,Yes,1,Rejected
15-04-2000,Afonso Carlos Canastra,25.0,male,High School,105422.0,5.0,MORTGAGE,0.0,HOMEIMPROVEMENT,7.51,0.07,4.0,578.0,Yes,1,Rejected
17-04-2002,Nhima Estrelado,23.0,male,High School,104082.0,0.0,MORTGAGE,10000.0,VENTURE,11.01,0.1,3.0,684.0,Yes,1,Rejected
27-10-1998,Victoria Luana Padres,27.0,M,Assoc. Degree,42836.0,5.0,RNT,12000.0,EDUCATION,7.29,0.28,6.0,660.0,No,1,Approved
06-07-2002,Isabela Daciana,23.0,Men,High School,105501.0,0.0,RENT,2100.0,EDUCATION,11.01,0.02,2.0,619.0,Yes,1,Pending
26-09-2001,Victória Sofia Puga,24.0,M,H-School,59155.0,0.0,MORTGAGE,6000.0,MEDICAL,10.95,0.1,4.0,493.0,Yes,1,Rejected
20-02-1986,Joicimara Rocas,39.0,female,Doctorate,39978.0,16.0,RENT,2400.0,PERSONAL,8.88,0.06,17.0,698.0,No,1,Rejected
10-02-2000,Orquídea Kaylla Mureiro,25.0,male,Mstr,48203.0,2.0,RENT,6412.0,VENTUREE,10.53,0.13,3.0,624.0,No,1,Rejected
07-07-2003,Raissa Mimoso Tento,22.0,female,Associates,36840.0,0.0,RENT,6000.0,DEBTCONSOLIDATION,12.42,0.16,4.0,589.0,No,1,Rejected
18-01-1994,Samaritano Alexandre Lopez,31.0,male,Bachelor,103267.0,11.0,MORTGAGE,16000.0,VENTURE,11.01,0.15,10.0,710.0,No,1,Rejected
01-03-1999,Kabigya Rebolo,26.0,Men,Bachelors,21063.0,5.0,RENT,5000.0,EDUCATION,11.01,0.24,4.0,638.0,No,1,Approved
02-02-1987,Antíbio Faroleiro,38.0,male,Associates,121160.0,18.0,RENT,14000.0,DEBTCONSOLIDATION,13.23,0.12,14.0,661.0,Yes,1,Rejected
20-08-2000,Andrey Sérvio,25.0,female,High School,70087.0,2.0,RNT,6000.0,EDU,11.19,0.09,3.0,658.0,No,1,Approved
28-10-1994,Décimo Álvaro,31.0,Woman,Bachelor,111500.0,6.0,MORTGAGE,3500.0,HOMEIMPROVEMENT,5.79,0.03,6.0,658.0,Yes,1,Rejected
14-02-1995,Agostinho Caloba,30.0,male,Master,69271.0,10.0,RENT,2500.0,MEDICAL,11.01,0.04,9.0,701.0,No,1,Rejected
16-09-2002,André Samuel Belarmino,23.0,male,Master,18512.0,1.0,OWN,4000.0,HOMEIMPROVEMENT,16.7,0.22,2.0,566.0,No,1,Pending
04-12-1996,Dias Lunta,29.0,female,Master,360479.0,8.0,RENT,16000.0,HOMEIMPROVEMENT,11.58,0.04,8.0,682.0,Yes,1,Pending
30-01-1998,Jad Lavos,27.0,female,Associate,39510.0,4.0,RENT,5538.0,DEBTCONSOLIDATION,7.96,0.14,7.0,653.0,Yes,1,Pending
03-07-1990,Rúbens Jarmela,35.0,male,Bachelor,199121.0,10.0,MORTGAGE,8000.0,VENTURE,11.49,0.04,8.0,660.0,Yes,1,Rejected
07-08-2001,Amir Clacio,24.0,male,Master,54780.0,2.0,MORTGAGE,16750.0,EDUCATION,12.73,0.31,4.0,681.0,Yes,1,Rejected
19-08-2004,Mariana Ainhoa Cortezão,21.0,female,Bachelor,60978.0,0.0,MORTGAGE,5375.0,DEBTCONSOLIDATION,7.49,0.09,3.0,568.0,Yes,1,Rejected
20-03-2003,Rui Flávio Urbana,22.0,female,Associate,116107.0,0.0,MORTGAGE,9000.0,EDUCATION,7.49,0.08,4.0,597.0,Yes,1,Rejected
23-09-2003,Bruna Matilde Mansa,22.0,male,High School,63497.0,2.0,RENT,11200.0,MEDICAL,6.62,0.18,4.0,624.0,No,1,Pending
02-05-2000,Zé Barroso,25.0,male,High School,56451.0,0.0,RENT,20000.0,DEBTCONSOLIDATION,11.78,0.35,2.0,646.0,No,1,Approved
15-07-1987,Gersão Moleirinho,38.0,male,High School,56390.0,10.0,MORTGAGE,4999.0,EDUCATION,10.77,0.09,15.0,571.0,No,1,Rejected
15-04-1981,Lia João Relvoo,44.0,female,Bachelor,79027.0,23.0,RENT,2000.0,MEDICAL,7.9,0.03,14.0,651.0,No,1,Rejected
08-08-1998,Winston Riperto,27.0,M,Master,102035.0,5.0,RENT,12000.0,MEDICAL,13.16,0.12,5.0,691.0,Yes,1,Rejected
23-12-1996,Cristiano Rodrigo Fernando,29.0,male,Master,34775.0,8.0,RENT,10000.0,MEDICAL,12.84,0.29,9.0,640.0,No,1,Approved
23-04-1996,Dora Gabriela Bitoque,29.0,female,Master,44644.0,5.0,RENT,14175.0,PERSON,10.01,0.32,7.0,666.0,No,1,Approved
10-03-2003,Luizinho Paulouro,22.0,female,High School,38629.0,0.0,RENT,5000.0,PERSONL,7.51,0.13,3.0,640.0,Yes,1,Rejected
09-12-1998,Manuel António Cabarroo,27.0,male,High School,61095.0,3.0,RNT,14000.0,VENTURE,6.54,0.23,8.0,538.0,Yes,1,Pending
14-10-1999,Keyla Danara Trocana,26.0,male,Associate,54722.0,3.0,RNT,6000.0,EDUCATION,5.79,0.11,2.0,587.0,Yes,1,Pending
21-12-2002,Mamadú Saido Rosário,23.0,female,Bachelor,90995.0,0.0,RENT,13200.0,VENTURE,6.17,0.15,4.0,677.0,No,1,Rejected
01-06-1993,Ildeberto Caixinha,32.0,M,Assoc. Degree,50663.0,11.0,OWN,10500.0,PERSON,6.62,0.21,9.0,656.0,Yes,1,Pending
21-04-2003,Jamie Queimadela,22.0,male,Associate,90793.0,3.0,MORTGAGE,25000.0,VENTURE,15.57,0.28,4.0,630.0,No,1,Approved
11-01-2000,Duarte Brojo,25.0,female,High School,57827.0,0.0,RENT,6000.0,PERSONAL,11.6,0.1,4.0,589.0,Yes,1,Rejected
18-06-2000,Elli Ana,25.0,female,Bachelor,66080.0,6.0,RENT,10000.0,PERSONAL,11.47,0.15,4.0,676.0,Yes,1,Rejected
21-01-1994,Cassilda Serrador,31.0,male,Associate,65671.0,11.0,RENT,1000.0,MEDICAL,11.01,0.02,7.0,595.0,Yes,1,Rejected
29-06-2000,Cadija Ilda Venezualano,25.0,Men,Master,83730.0,4.0,RENT,1025.0,DEBTCONSOLIDATION,8.41,0.01,4.0,589.0,Yes,1,Rejected
22-01-1999,Nuno Agostinho Patueli,26.0,M,Master,41807.0,2.0,RENT,6000.0,DEBTCONS,12.69,0.14,4.0,648.0,No,1,Rejected
14-05-2002,Mercília Campar,23.0,Woman,Bachelor,121147.0,0.0,MORTGAGE,15000.0,MEDICAL,13.49,0.12,4.0,523.0,Yes,1,Pending
07-06-2001,Taviane Vigoço,24.0,female,Associate,109169.0,0.0,RENT,15000.0,DEBTCONSOLIDATION,7.9,0.14,2.0,620.0,No,1,Rejected
19-12-1960,Yasmeen Montalvão,65.0,female,Associate,92502.0,43.0,RENT,35000.0,EDUCATION,10.99,0.38,27.0,735.0,No,1,Approved
14-02-2003,Leonôr Gaudencio,22.0,female,High School,97105.0,3.0,MORTG,27525.0,EDUCATION,10.74,0.28,3.0,649.0,No,1,Pending
18-10-2004,Bárbara Elisa Gavinhas,21.0,male,Master,0.0,0.0,RENT,2200.0,PERSONAL,11.01,0.14,4.0,656.0,No,1,Approved
05-09-2003,Isilda Maria Nazare,22.0,male,High School,84747.0,2.0,MORTGAGE,6000.0,MEDICAL,6.03,0.07,2.0,662.0,Yes,1,Rejected
27-02-2001,Matias Filipe Tarouca,24.0,male,Associate,43954.0,2.0,RENT,13835.0,EDUCATION,10.96,0.31,4.0,648.0,No,1,Approved
23-04-1992,Gabriel Tarcisio Morales,33.0,male,Bachelor,53716.0,10.0,MORTGAGE,7000.0,EDUCATION,12.99,0.13,8.0,695.0,No,1,Approved
22-04-1999,Etuwine Cesario,26.0,male,High School,58668.0,5.0,RENT,4500.0,DEBTCONSOLIDATION,11.11,0.08,4.0,627.0,Yes,1,Rejected
02-04-2003,Eda Canes,22.0,male,BSc,66830.0,4.0,MORTGAGE,13000.0,PERSONAL,13.85,0.19,3.0,658.0,Yes,1,Pending
03-07-1985,Dayra Maleiro,40.0,male,Associate,19825.0,16.0,RENT,2375.0,DEBTCONSOLIDATION,11.11,0.12,12.0,700.0,No,1,Rejected
04-10-1995,Darina Cobra,30.0,F,Bachelor,96804.0,2.0,MORTGAGE,14449.0,HOME-IMPROVE,12.0,0.15,9.0,611.0,Yes,1,Pending
02-11-2003,Mário André Chambuca,22.0,female,High School,75605.0,0.0,MORTGAGE,3000.0,MEDICAL,8.7,0.04,3.0,607.0,Yes,1,Rejected
10-06-2003,Andreia Dedal,22.0,female,Master,87269.0,0.0,MRTG,5500.0,EDUCATION,11.71,0.06,3.0,625.0,Yes,1,Rejected
12-11-1989,Carmel Tucha,36.0,female,High School,109109.0,14.0,OWN,3800.0,HOMEIMPROVEMENT,6.03,0.03,14.0,580.0,Yes,1,Rejected
21-03-1992,Mariela Rachel Canais,33.0,M,High School,181234.0,10.0,MORTGAGE,14000.0,VENTURE,6.62,0.08,7.0,652.0,Yes,1,Pending
09-05-2004,Adjene Saloio,21.0,Men,High School,66951.0,0.0,RENT,16000.0,DEBTCONS,8.94,0.24,2.0,679.0,No,1,Rejected
30-10-2002,Shantel Sérvio,23.0,male,Bachelor,181013.0,1.0,RENT,,VENTURE,10.65,0.03,2.0,636.0,Yes,1,Rejected
12-01-1984,Beldora Rigueira,41.0,male,BSc,216986.0,18.0,RENT,14000.0,DEBTCONSOLIDATION,6.03,0.06,15.0,544.0,No,1,Rejected
28-05-2003,Nikolly Tendinha,22.0,female,Bachelor,85497.0,0.0,MRTG,14075.0,EDUCATION,14.74,0.16,4.0,623.0,No,1,Pending
29-11-1994,Marta Sofia Lamachoo,31.0,female,High School,49417.0,9.0,RENT,8000.0,DEBTCONSOLIDATION,11.89,0.16,7.0,682.0,Yes,1,Rejected
05-06-2000,Nérica Regalado,25.0,female,Master,44079.0,1.0,MORTGAGE,7000.0,DEBTCONS,12.73,0.16,2.0,653.0,Yes,1,Pending
14-04-2003,Lourenço António Foto,22.0,female,Master,66591.0,0.0,MORTGAGE,13500.0,MEDICAL,9.67,0.2,4.0,618.0,No,1,Pending
17-09-1996,Daisy Osaivbie Rios,29.0,male,Master,72440.0,6.0,RENT,10000.0,MEDICAL,13.01,0.14,7.0,571.0,No,1,Approved
22-03-1996,Mahdia Abito,29.0,female,Master,73424.0,4.0,RENT,,EDUCATION,7.99,0.13,10.0,587.0,No,1,Pending
02-07-2000,Claudiana Cale,25.0,male,Highschool,120202.0,0.0,RNT,10000.0,PERSONAL,14.65,0.08,3.0,661.0,No,1,Rejected
06-05-2002,Shayan Bandeira,23.0,male,Associate,43888.0,2.0,RENT,12250.0,MEDICAL,10.74,0.28,3.0,650.0,No,1,Approved
07-05-2001,Julian Dinho,24.0,female,Master,85171.0,5.0,MORTGAGE,11000.0,DEBTCONS,11.01,0.13,3.0,666.0,Yes,1,Pending
28-01-1967,Ângela Maria Pecanço,58.0,male,Associate,936815.0,37.0,MRTG,4500.0,PERSONAL,6.91,0.0,19.0,658.0,No,1,Pending
09-07-2001,Maura Vitória Quito,24.0,male,Associate,59728.0,4.0,MORTGAGE,3500.0,MEDICAL,8.89,,4.0,566.0,Yes,1,Rejected
17-06-2000,Liev Gananca,25.0,female,Bachelor,156789.0,0.0,RENT,2000.0,HOMEIMPROVEMENT,6.99,0.01,4.0,601.0,Yes,1,Rejected
08-05-2003,Kacy Eirinha,22.0,male,Master,52898.0,2.0,OWN,7750.0,EDUCATION,7.66,0.15,2.0,682.0,No,1,Pending
13-06-1999,Principelino Potencio,26.0,female,Associate,0.0,3.0,RENT,5000.0,VENTURE,14.84,0.13,4.0,661.0,No,1,Approved
06-04-1999,Alex Daniel Cecilio,26.0,male,High School,127135.0,3.0,MORTGAGE,7200.0,HOMEIMPROVEMENT,10.65,0.06,4.0,619.0,Yes,1,Pending
02-09-1986,Savlatjon Beleza,39.0,female,H-School,38515.0,16.0,RNT,6400.0,PERSONAL,11.49,0.17,15.0,575.0,Yes,1,Pending
27-06-1996,Tamára Margarida Azinhais,29.0,male,Master,79885.0,3.0,MORTGAGE,8200.0,DEBTCONSOLIDATION,17.04,0.1,7.0,652.0,No,1,Approved
27-01-1995,Nadyne Durão,30.0,male,Associate,112942.0,11.0,MORTGAGE,2500.0,HOMEIMP,5.99,0.02,6.0,642.0,Yes,1,Rejected
21-08-1989,Bianca Leonor Tendeiro,36.0,female,High School,87020.0,13.0,MORTGAGE,3500.0,MEDICAL,6.99,0.04,13.0,649.0,Yes,1,Rejected
24-02-1987,Beline Calcinha,38.0,male,Associate,77957.0,14.0,RENT,23610.0,HOMEIMP,13.48,0.3,12.0,707.0,No,1,Approved
13-04-2001,Maria Gabriela Matias,24.0,female,Master,36124.0,1.0,RENT,6000.0,MED,15.27,0.17,2.0,618.0,Yes,1,Pending
24-12-1990,Ji Yu Areosa,35.0,female,Master,159385.0,13.0,MORTG,22000.0,PERSONAL,6.54,0.14,5.0,677.0,Yes,1,Rejected
14-04-1998,Bebiano Varanda,27.0,male,High School,100389.0,4.0,MORTGAGE,4807.0,DEBTCONS,8.59,0.05,7.0,580.0,Yes,1,Rejected
24-02-1999,Joana Mafalda Cobrado,26.0,male,Bachelor,83903.0,3.0,RENT,11000.0,EDUCATION,12.16,0.13,4.0,591.0,No,1,Rejected
12-10-1992,Acini Alvim,33.0,female,Master,103036.0,11.0,MORTG,15000.0,EDUCATION,15.4,0.15,8.0,,Yes,1,Pending
11-03-1985,Dilson Alemoo,40.0,female,Assoc,66294.0,19.0,RENT,3000.0,EDUCATION,16.89,0.05,15.0,602.0,No,1,Approved
07-01-2002,Tiago Gil Ragagão,23.0,male,Associate,43923.0,1.0,MRTG,10000.0,EDUCTION,7.14,0.23,3.0,598.0,Yes,1,Pending
11-07-1999,Kevan Donario,26.0,female,High School,133476.0,0.0,RENT,25000.0,PERSONAL,11.01,0.19,2.0,641.0,Yes,1,Rejected
10-06-1987,Inês Jesus Minhos,38.0,Men,High School,43372.0,15.0,RENT,5000.0,PERSON,9.99,0.12,14.0,672.0,Yes,1,Pending
16-04-1997,Tranay Catata,28.0,female,High School,41754.0,5.0,RENT,4000.0,MEDICAL,17.18,0.1,9.0,560.0,No,1,Approved
25-08-1973,Edelair Moital,52.0,female,High School,71397.0,32.0,RENT,20000.0,DEBTCONSOLIDATION,15.58,0.28,22.0,708.0,No,1,Pending
01-04-2001,Axel Palumbo,24.0,female,Master,73567.0,2.0,RNT,12000.0,EDUCATION,16.49,0.16,2.0,685.0,No,1,Rejected
16-07-1998,Mayra Soraia Cardona,27.0,Men,High School,41671.0,0.0,RENT,8924.0,EDUCATION,9.1,0.21,7.0,646.0,No,1,Approved
26-02-2003,Leopoldo Lourenço,22.0,male,Associate,77743.0,0.0,MORTGAGE,25000.0,EDUCATION,11.83,,4.0,629.0,No,1,Rejected
25-11-2000,Ema Liana Calrão,25.0,male,Master,0.0,4.0,RENT,18000.0,HOMEIMPROVEMENT,9.88,0.18,3.0,692.0,Yes,1,Rejected
30-10-2000,Vlad Carpalhoso,25.0,male,Bachelor,131772.0,4.0,MORTGAGE,16000.0,DEBTCONS,6.03,0.12,2.0,679.0,Yes,1,Pending
10-01-2002,Anamar Alexandra Fiães,23.0,male,High School,73165.0,0.0,RENT,10000.0,VENTURE,9.88,0.14,4.0,571.0,Yes,1,Rejected
25-01-2002,Grizman Munhos,23.0,male,Assoc. Degree,26705.0,0.0,RENT,5000.0,PERSONAL,13.06,0.19,4.0,611.0,No,1,Approved
26-02-2000,Luicilene Caroço,25.0,male,Assoc. Degree,73160.0,1.0,RENT,9600.0,DEBTCONSOLIDATION,7.9,0.13,2.0,635.0,Yes,1,Rejected
10-11-1990,Áurea Carolina Leoquedio,35.0,male,Master,56362.0,7.0,RENT,10000.0,EDUCATION,15.05,0.18,6.0,663.0,Yes,1,Pending
11-12-2000,Daina Lucio,25.0,M,Bachelor,72820.0,2.0,MORTGAGE,4000.0,EDUCATION,10.45,0.05,4.0,649.0,Yes,1,Rejected
10-12-1991,Tiago Ventura Caricas,34.0,female,Bachelor,107947.0,13.0,MORTGAGE,10000.0,DEBTCONSOLIDATION,10.99,0.09,7.0,701.0,No,1,Pending
